,normal_percentiles,playtime_percentiles
0.541,0.6485199072134014,0.6813510507709702
0.542,0.6487306063535551,0.6813510507709702
0.543,0.6489349234334004,0.6813510507709702
0.544,0.6491243561901476,0.6813510507709702
0.545,0.6493170427406038,0.6813510507709702
0.546,0.6494652797335752,0.6813510507709702
0.547,0.6496902081336012,0.6813510507709702
0.548,0.649903399238402,0.6813510507709702
0.549,0.6501265566252149,0.6813510507709702
0.55,0.6503756398470454,0.6813510507709702
0.551,0.6505139156947677,0.6813510507709702
0.552,0.6507481809264425,0.6813510507709702
0.553,0.650954910054597,0.6813510507709702
0.554,0.6511321048278889,0.6813510507709702
0.555,0.651371723165561,0.6813510507709702
0.556,0.6516077107422178,0.6813510507709702
0.557,0.6516646720615658,0.6813510507709702
0.558,0.6518775108471805,0.6813510507709702
0.559,0.6520954041310519,0.6813510507709702
0.56,0.6523847560133259,0.6813510507709702
0.561,0.6525804795589798,0.6813510507709702
0.562,0.6527785911167534,0.6813510507709702
0.563,0.6530051973691361,0.6813510507709702
0.564,0.6532299520768161,0.6813510507709702
0.565,0.6534734894027553,0.6813510507709702
0.566,0.6536458771131275,0.6813510507709702
0.567,0.6538507622254529,0.6813510507709702
0.568,0.654046707599035,0.6813510507709702
0.569,0.6541814717549419,0.6813510507709702
0.57,0.6544026634945433,0.6813510507709702
0.571,0.6545977132732412,0.6813510507709702
0.572,0.6548550339957951,0.6813510507709702
0.573,0.6550979234760903,0.6813510507709702
0.574,0.6552843500016149,0.6813510507709702
0.575,0.655489232333909,0.6813510507709702
0.576,0.655660565681896,0.6813510507709702
0.577,0.6557172981154367,0.6813510507709702
0.578,0.6558096916774588,0.6813510507709702
0.579,0.6559768439546684,0.6813510507709702
0.58,0.656174487636983,0.6813510507709702
0.581,0.656377576909573,0.6813510507709702
0.582,0.6566072399080841,0.6813510507709702
0.583,0.6568215648931021,0.6813510507709702
0.584,0.6570305474719638,0.6813510507709702
0.585,0.657226248223003,0.6813510507709702
0.586,0.6574198965538427,0.6813510507709702
0.587,0.6577020456904259,0.6813510507709702
0.588,0.6579276302797441,0.6813510507709702
0.589,0.6581348103394581,0.6813510507709702
0.59,0.6583253694124062,0.6813510507709702
0.591,0.6585184828365569,0.6813510507709702
0.592,0.6587646655248705,0.6813510507709702
0.593,0.6589667161869577,0.6813510507709702
0.594,0.6591549751455434,0.6813510507709702
0.595,0.6593620440849337,0.6813510507709702
0.596,0.6595805919623277,0.6813510507709702
0.597,0.6598273149600715,0.6813510507709702
0.598,0.6599949507476535,0.6813510507709702
0.599,0.6601657705731654,0.6813510507709702
0.6,0.6603779870652466,0.6813510507709702
0.601,0.6605924717611874,0.6813510507709702
0.602,0.660827538795511,0.6813510507709702
0.603,0.6610368732549874,0.6813510507709702
0.604,0.6612883398455554,0.6813510507709702
0.605,0.6615117666872568,0.6813510507709702
